RANGO;NUMEROS PRIMOS;DURACION
0-1000000;78498;1.42801
1000000-2000000;70435;1.5434
2000000-3000000;67883;1.52942
3000000-4000000;66330;1.54831
4000000-5000000;65367;1.5293
5000000-6000000;64336;1.54037
6000000-7000000;63799;1.53867
7000000-8000000;63129;1.54989
8000000-9000000;62712;1.7902
9000000-10000000;62090;1.84756
10000000-11000000;61938;1.60073
11000000-12000000;61543;1.54332
12000000-13000000;61192;1.54612
13000000-14000000;60825;1.54011
14000000-15000000;60627;1.54937
15000000-16000000;60426;1.54957
16000000-17000000;60184;1.55181
17000000-18000000;60053;1.52951
18000000-19000000;59683;1.53365
19000000-20000000;59557;1.58138
20000000-21000000;59336;1.67452
21000000-22000000;59318;2.25783
22000000-23000000;58960;1.68013
23000000-24000000;58901;1.56844
24000000-25000000;58805;1.55848
25000000-26000000;58600;1.56064
26000000-27000000;58538;1.54922
27000000-28000000;58365;1.55319
28000000-29000000;58246;1.55406
29000000-30000000;58183;1.54885
30000000-31000000;58120;1.55187
31000000-32000000;57836;1.55276
32000000-33000000;57852;1.55901
33000000-34000000;57712;1.54542
34000000-35000000;57396;1.5755
35000000-36000000;57487;1.89042
36000000-37000000;57361;1.76023
37000000-38000000;57343;2.08106
38000000-39000000;57436;2.45007
39000000-40000000;57252;2.21428
40000000-41000000;57102;1.76709
41000000-42000000;56864;2.3215
42000000-43000000;56915;1.85192
43000000-44000000;56849;2.03621
44000000-45000000;56776;1.76771
45000000-46000000;56893;1.95576
46000000-47000000;56640;2.02452
47000000-48000000;56451;1.8061
48000000-49000000;56387;1.70593
49000000-50000000;56603;1.96873
50000000-51000000;56360;1.89071
51000000-52000000;56349;1.7045
52000000-53000000;56209;1.62086
53000000-54000000;56151;1.74164
54000000-55000000;55997;1.68216
55000000-56000000;56130;1.82359
56000000-57000000;56105;1.69748
57000000-58000000;55901;1.67869
58000000-59000000;55978;1.80147
59000000-60000000;55801;1.55304
60000000-61000000;55930;1.63263
61000000-62000000;55555;1.54193
62000000-63000000;55706;1.54218
63000000-64000000;55780;1.54964
64000000-65000000;55468;1.56547
65000000-66000000;55569;1.52635
66000000-67000000;55644;1.58286
